kho	Khố	Cùlasetthi	1
culasetthi	Cùlasetthi	Tiểu chủ ngân khố	1
kankharevata	Kankhàrevata	Kankhà Ly-bà-la	1
kannamunda	Kannamunda	Tai cụt	1
nuoc	Nước	Abhijjamàna	1
rathakara	Ràthakàrà	Rathakàràpeti	1
trau	Trấu	Bhusa	1
trai	Trai	Kumàra	1
nai	Nai	Migaludda	1
doi	Dối	Kùtavinicchayika	1
kusinara	Kusinara	Câu-thi-na	1
surattha	Surattha	Vương quốc an lạc	1
go	Gỗ	Akkharukkha	1
videha	Videha	Vi-đề-ha	1
san	Sản	Bhogasamharana	1
phu	Phú	Setthiputta	1
lohakumbhi	Lohakumbhi	Chảo sắt	1
bua	Búa	Satthikùtasahassa	1
jivaka	Jìvaka	Kỳ-bà	1
vihehi	Vihehi	Vi-đề-hi	1
gosala	Gosàla	Mặc-già-lê Cù-xá-lợi	1
kesakambali	Kesakambàli	A-kỳ-đa Kỳ-xá-khâm-bà-la	1
kaccayana	Kaccayana	Bà-phù-đà Ca-chiên-nê	1
belathiputta	Belathiputta	Tán-nhã-di Tỳ-la-phê-phất	1
udayibhadda	Udàyibhadda	Ưu-đà-di- bạt-đà	1
ambattha	AMBATTHA	A-MA-TRÚ	1
vamadeva	Vàmadeva	Bà-ma -đề-bà	1
vessamitta	Vessàmitta	Tì-bà-thẩm-sá	1
yamataggi	Yamataggi	Gia-bà -đề-bà	1
angirasa	Angirasa	Ương-kỳ-la	1
sonadanda	SONADANDA	CHỦNG ĐỨC	1
gaggara	Gaggara	Già-già liên-trì	1
kutadanta	KÙTADANTA	CỨU-LA-ĐÀN-ĐẦU	1
khanumata	Khànumata	Khứ-- nậu-bà-đế	1
otthadda	Otthadda	Môi thỏ	1
ujunna	Ujunnà	Uy-nhã-quốc	1
potthapada	POTTHAPÀDA	BỐ-SÁ-BÀ-LÂU	1
subha	SUBHA	TU-BÀ	1
kevaddha	KEVADDHA	KIÊN CỐ	1
nimmanarati	Nimmànarati	Hóa lạc thiên	1
lohicca	LOHICCA	LÔ-HI-GIA	1
tevijja	TEVIJJA	TAM MINH	1
aciravati	Aciravati	A-trí-la-phạt-để	1
canki	Canki	Thường- già	1
tarukkha	Tàrukkha	Đa-lê-xa	1
pokkharasati	Pokkharasàti	Phí-già-la-bà-la	1
janussoni	Jànussoni	Sanh Lậu	1
todeyya	Todeyya	Đạo-đề-da	1
bharadvaja	Bhàradvàja	Bạt-la-đà-phạn-xà	1
vamaka	Vàmaka	Bà-ma	1
bhagu	Bhagu	Bà-cữu	1
indra	Indra	Nhân-đà-la	1
soma	Soma	Tô-ma	1
vanena	Vanena	Bà-lưu- va	1
isana	Isàna	Y-sa-na	1
mahiddhi	Mahiddhi	Ma-hi-đề	1
jeta	Jeta	Kỳ-đà	1
kareri	Kareri	Hoa Lâm	1
vessabhu	Vessabhù	Tỳ-xá- bà	1
kondanna	Kondanna	Câu- ly-nhã	1
sambhava	Sambhava	Tam-bà-bà	1
vidhura	Vidhùra	Tỳ-lâu	1
sanjiva	Sanjìva	Tát-ni	1
bhiyyosa	Bhiyyosa	Thư-bàn-na	1
khemankara	Khemankara	Nhẫn Hành	1
upasannaka	Upasannaka	Tịch Diệt	1
vuddhija	Vuddhija	Thiện Giác	1
sotthija	Sotthija	An Hòa	1
aruna	Aruna	Minh Tướng	1
pabhavati	Pabhãvatĩ	Quang Huy	1
suppatita	Suppatìta	Thiện Đăng	1
yasavati	Yasavati	Xứng Giới	1
anopama	Anopama	Vô Dụ	1
aggidatta	Aggidatta	Tự Đắc	1
khema	Khema	An Hòa	1
khemavati	Khemavatì	An Hòa	1
yannadatta	Yannadatta	Đạt Đức	1
sobha	Sobha	Thanh Tịnh	1
sobhavati	Sobhavatì	Thanh Tịnh	1
brahmadatta	Brahmadatta	Phạm Thi	1
dhanavati	Dhanavatì	Tài Chủ	1
maya	Màyà	Ma-da	1
ang-tan-gia	ăng-tần-già	Karavika	1
ukkhattha	Ukkhattha	Úc-Già La	1
suddhavasa	Suddhàvàsa	Tịnh Cư thiên	1
aviha	Avihà	Vô Nhiệt thiên	1
atappa	Atappà	Vô Phiền thiên	1
sudassa	Sudassà	Thiện Kiến thiên	1
sudassi	Sudassi	Thiện Hiện thiên	1
akanittha	Akanitthà	Sắc Cứu Kính thiên	1
kammassadhamma	Kammassadhamma	Kiếm-ma-sắt-đàm	1
vedehiputta	Vedehiputta	A-xà-thế, con bà Vi-đề-hi	1
vassakara	Vassakara	Vũ-xá	1
pavarikambavana	Pavarikambavana	Ba-ba-lợi Âm-bà-lâm	1
an	đàn	Brahmadanda	1
upavattana	Upavattana	Hồ-bạt-đan	1
vissakamma	Vissakamma	Tỳ-thủ-yết-ma	1
valahaka	Valàhaka	Vân Mã vương	1
ay	đay	Dukùla	1
koti	Koti	Cu-chi	1
malla	Malla	Mạt- la	1
ceti	Ceti	Chi-đề	1
vansa	Vansa	Bạt-sa	1
pancala	Pancàla	Ban-giá-la	1
maccha	Maccha	Bà-sá-la	1
janavasabha	Janavasabha	Xà-ni-sa	1
ta-vatimsa	Tà-vatimsà	Tam thập tam thiên	1
catumarajika	Catumàràjikà	Tứ Thiên vương thiên	1
can-that-ba	Càn-thát-bà	Gandhabba	1
e-thich	Ðế-thích	Sakka	1
yamuna	Yamuna	Diệm-mâu- na	1
disampati	Disampati	Thành Chủ	1
govinda	Govinda	Điển Tôn	1
renu	Renu	Lê-nô	1
jotipala	Jotipàla	Hộ Minh đồng tử	1
dantapura	Dantapura	Nại-đa-bố-la	1
kalinga	Kàlingà	Ca-lăng-giới	1
assaka	Assaka	Ma-thấp-na-ka	1
avanti	Avanti	Ương-đế-na	1
sovira	Sovira	Tô-vĩ- la	1
sattabhu	Sattabhù	Phá Oan vương	1
bharata	Bharata	Minh Ái vương	1
virulha	Virùlha	Tăng Trưởng Thiên vương	1
supanna	Supannà	Kim Sí điểu	1
vediya	Vediya	Tỳ-đà Sơn	1
indasala	Indasàla	Nhơn-đà-sa-la	1
setavya	Setavyà	Tư-ba-ê	1
gavampati	Gavampati	Ngưu Chủ	1
anupiya	Anupiya	A-dật-di	1
sunakkhatta	Sunakkhatta	Thiện Tịnh	1
licchavi	Licchavi	Ly- xa tử	1
patikaputta	Patikaputta	Ba-lê tử	1
udumbarika	Udumbarikà	Ưu-đàm-bà-la	1
sandhana	Sandhana	Tán-đà-na	1
matula	Matulà	Ma-du-la	1
dalhanemi	Dalhanemi	Kiên-cố-niệm	1
avidi	Avidi	A-tỷ Địa ngục	1
brahmana	Bràhmanà	Bà-la-môn	1
khattiya	Khattiya	Sát đế lỵ	1
nathaputta	Nàthaputta	Ni-kiền tử	1
cunda	Cunda	Thuần-đà	1
karavika	Karavika	Ca-lăng-tần-già	1
singalaka	Singàlaka	Thi-ca-la-việt	1
kumbhanda	Kumbhanda	Cưu-bàn-trà	1
naga	Nàga	Na-già	1
atanatiyarakkha	Atànàtiyarakkha	A-sá-nang-chi Hộ Kinh	1
vessabha	Vessabha	Tỳ-xá-bà	1
kakusandha	Kakusandha	Câu-lâu-tôn	1
chau	Châu	Uttarakurù	1
neru	Neru	Tu-di	1
kayika	Kàyikà	Phạm Chúng thiên	1
ujjhanasanna	Ujjhànasannà	Hiềm trách thiên	1
sudatta	Sudatta	Tu-đạt-đa	1
himavanta	Himavanta	Tuyết sơn	1
anathapinkika	Anàthapinkika	Cấp Cô Độc	1
raagaha	Ràagaha	Vương Xá	1
no	Nộ	Không Hại	1
upavana	Upavàna	Ưu-ba-ma-na	1
gijjakuta	Gijjakùta	Linh Thứu	1
thi	Thỉ	Anamatagga	1
dakhinagiri	Dakhinàgiri	Nam Sơn	1
gujjhakuuta	Gujjhakuuta	Linh Thứu	1
kuutagarasala	Kuutàgàrasàlà	Trùng Các giảng đường	1
kaccana	Kaccàna	Ma- ha Ca-chiên-diên	1
rajagala	Ràjagala	Vương Xá	1
bang	Bàng	Nigrodhàràma	1
thang	Thằng	Hay Dây Buộc	1
tanh	Tánh	Hay Tưởng	1
mara	Màra	Màradhamma	1
sucimukhi	Sùcimukhi	Tịnh Diện	1
khoi	Khởi	Vutthàna	1
thuc	Thục	Kallavà	1
canh	Cảnh	Gocara	1
nguyen	Nguyện	Abhinnara	1
trong	Trọng	Sakkaccakàrii	1
diet	Diệt	Vaya	1
samiddhi	Samiddhi	I	1
hoai	Hoại	Paloka	1
nhiem	Nhiễm	Ejà	1
oa	Ðọa	Parihànam	1
la-sat	La-sát	Rakkhasam	1
gi	Gì	Kimsukà	1
tham	Tham	Pàtàla	1
thu-a	Thủ-đà	Suddà	1
thu	Thù	Avenika	1
han	Hận	Upanàhi	1
o	Ðố	Issukii	1
dam	Dâm	Aticari	1
nhac	Nhác	Kusìta	1
niem	Niệm	Mutthassati	1
cam	Cấm	Pancaveram	1
luoc	Lược	Anuruddha II. Phần trắng	1
che	Chế	Pasaykà	1
phuc	Phục	Abhibhùyya	1
kien	Kiện	Thànam	1
tho	Thở	Assàsa	1
than	Thân	Sakkàya	1
uc	đức	Ayyo	1
acela	Acela	Lõa thể	1
canda	Canda	Tàn bạo	1
